,Title,Authors,Description,Category
139,outlaw school,rebecca ore,"nominated for the 2000 james tiptree jr. memorial awardin as gray, industro-technical future of protective shackles and slowed ideas, jayne wants to be respectable and conform.  but conformity means accepting a limited destiny and the hollow entertainments that are brutally enforced as ""news"".  and to be respectable, she must gain back her virginity and give up an eye.  jayne's life is out of control-her reality has teeth and educational drugs and binding tools- and the only cures for her growing dissatisfaction  with a bleak, repressive status quo seem to be madness or legal suicide. or rebellion.  jayne cannot, will not, be rehabilitated. so instead, she will live her life between lines, illegally encouraging the otherness of the lowly, the renegades, the crazies, the virtual whores, as she dedicates herself to the dangerous cause of outlaw education. there are many pitfalls built into the road jayne has chosen to walk: failure, betrayal, terror, arrest, cyberia. but her courage and determination could be the catalyst for a new future.","fiction , science fiction , general"
140,the march up: taking baghdad with the 1st marine division,"bing west, ray l., smith, francis j. west","chronicles the actions and efforts of the 1st marine division on their 22-day march into baghdad, reporting firsthand accounts of strategic plans, failures, and ultimately, victory.","political science , general"
141,the temple bombing,melissa fay greene,"on october 12, 1958, the temple, atlanta's oldest and most prominent synagogue, was blown open by fifty sticks of dynamite. the shock wave that reverberated across the nation that night jolted this city ""too busy to hate,"" a booster's town scrambling to make itself the economic hum of what would become the new south. the explosion also shattered the illusions of a comfortable reform jewish congregation, for whom assimilation and acceptance had been proceeding nicely until they found themselves in the crossfire of a renewed battle between white and black.by weaving together the parallel experiences of four different atlanta communities - the white power structure, the white supremacists, the african americans, and the jews - melissa fay greene places at the center of her narrative jacob rothschild, the temple's outspoken rabbi and the lightning rod for the predawn attack. with the visceral power of great writing, the temple bombing illuminates as never before the danger facing everyday citizens who try to lead moral lives in an era of defiance. it is a vivid social history, a courtroom drama, and a page-turning mystery rich in character and incident.","social science , general"
142,officer-cadet (dirigent mercenary corps),rick shelley,"another installment in the explosive new series of future warfare features a young soldier expelled from earth, who seeks to prove his worthiness in the dirigent mercenary corps, the most demanding and refined of military outfits. original.","fiction , science fiction , hard science fiction"
143,home fires: an intimate portrait of one middle-class family in postwar america,donald r. katz,"an account of one family's experiences in postwar america chronicles their cultural transformation through a flight to suburbia, materialism, and the sixties counterculture, describing where they are today. 50,000 first printing. $75,000 ad/promo.","social science , general"
144,a matter of character: inside the white house of george w. bush,ronald kessler,"a look at the real george w. bush behind the public image draws on interviews with key players in the bush administration, as well as with friends and colleagues, to reveal a man of clearly defined moral instinct and leadership style.","political science , political process , general"
145,backlash: the undeclared war against american women,susan faludi,"winner of the national book critics circle award  for nonfiction, this controversial,  thought-provoking, and timely book is ""as groundbreaking as  simone de beauvoir's the second sex  and betty friedan's the feminine  mystique."" -- newsweek.","social science , feminism and feminist theory"
146,daughters of an amber noon: a novel,katherine v. forrest,"the lesbian science-fiction classic daughters of a coral dawn told the story of a group of pioneering women who disappeared from earth and colonized the planet maternas. but what of their sisters left behind? in the highly anticipated sequel, katherine forrest tells the story of a group of women called the unity, who have vanished from society but are still living on earth. but earth, repressive before the most accomplished and in-dispensable women disappeared, is now a hellish place ruled by the dictator theo zedera, known as zed, and he is seeking the vanished women with ruthless determination. among them is africa contrera, and as she struggles to build a world safe for women, she is haunted by her past, a past in which she and zed were close friends, a past where she trusted him and shared the deadly knowledge he now uses to hunt her. is there hope for this new hidden society of women? however resourceful they may be, can they withstand the savagery of a man who uses their own secrets against them? just as she did 18 years ago, katherine forrest has created a brilliant and breathtaking saga of a divided society and the rebels courageous enough to withstand this brutal new world. katherine forrest is also the author of the lesbian romantic classic curious wine as well as the groundbreaking kate delafield mystery series.","fiction , science fiction , general"
147,the no spin zone: confrontations with the powerful and famous in america,bill o'reilly,"on the heels of his runaway new york times bestseller, the o’reilly factor, bill o’reilly delivers another strong dose of no-holds-barred advice and the unvarnished truth for america.bill o’reilly is even madder today than when he wrote his last book the o’reilly factor–and his fans love him even more. he’s mad because things have gone from bad to worse, in politics, in hollywood, in every social stratum of the nation. true to its title, the no-spin zone cuts through all the rhetoric that some of o’reilly’s most infamous guests have spewed to expose what’s really on their minds, while sharing plenty of his own emphatic counterpoints along the way.shining a searing spotlight on public figures from president george w. bush and senator hillary clinton to the reverend jesse jackson, al sharpton, and his former cbs news colleague dan rather, the no-spin zone is laced with the kind of straight-shooting commentary that has made o’reilly the voice of middle america’s disenfranchised. examining sex and violence in the media and the tarnished legacy of the clintons with the same feistiness as the death penalty (which he opposes) and timid national news organizations that roll over for the powerful, bill o’reilly delivers not only his opinions, but the documented attitudes of the country’s movers and shakers as well.  it demonstrates just why  o’reilly has become the most successful, the most controversial, the most beloved (by some), and the most disliked (by others) figure in television news today_and a culture hero to tens of millions of everyday americans.  and that’s fact, not spin.","political science , political process , general"
148,"give me a break: how i exposed hucksters, cheats, and scam artists and became the scourge of the liberal media...",john stossel,"ballooning government? millionaire welfare queens? tort lawyers run amok? a $330,000 outhouse, paid for with your tax dollars? john stossel says, ""give me a break.""when he hit the airwaves thirty years ago, stossel helped create a whole new category of news, dedicated to protecting and informing consumers. as a crusading reporter, he chased snake-oil peddlers, rip-off artists, and corporate thieves, winning the applause of his peers. but along the way, he noticed that there was something far more troublesome going on: while the networks screamed about the dangers of exploding bic lighters and coffeepots, worse risks were ignored. and while reporters were teaming up with lawyers and legislators to stick it to big business, they seldom reported the ways the free market made life better.in give me a break, stossel explains how ambitious bureaucrats, intellectually lazy reporters, and greedy lawyers make your life worse even as they claim to protect your interests. taking on such sacred cows as the fda, the war on drugs, and scaremongering environmental activists -- and backing up his trademark irreverence with careful reasoning and research -- he shows how the problems that government tries and fails to fix can be solved better by the extraordinary power of the free market.he traces his journey from cub reporter to 20/20 co-anchor, revealing his battles to get his ideas to the public, his struggle to overcome stuttering, and his eventual realization that, for years, much of his reporting missed the point.stossel concludes the book with a provocative blueprint for change: a simple plan in the spirit of the founding fathers to ensure that america remains a place ""where free minds -- and free markets -- make good things happen.""","political science , general"
149,skipping towards gomorrah: the seven deadly sins and the pursuit of happiness in america,dan savage,"dan savage is irreverent, irrepressible, and opinionated. he's held his own on politically incorrect, told tales on this american life, continues to write a beloved nationally syndicated column-and he's had it up to here (my hand is higher than my head) with the moral, conservative scolds who proclaim america is slouching towards gomorrah (to use robert bork's phrase). are we really that bad?  yes, we are! and in skipping towards gomorrah, dan savage eviscerates those cynics as he commits each of the seven deadly sins himself (or tries to) and finds those everyday americans who take particular delight in their sinful pursuits. among them:  greed: gamblers reveal secrets behind outrageous fortune. lust: ""we're swingers!""-you won't believe who's doing it. gluttony: dan meets gluttons with attitude at a pro-fat conference. sloth: leave it to dan to find a way to celebrate this sin that will get him in trouble with his mother. anger: texans shoot off some rounds and then listen to dan fire off on his own about guns, control, and the second amendment. envy: meet the rich-then be glad you're not one of them. pride: you'll never look at a gay pride parade the same way again.  couple all this sinning with a unique history of the seven deadly sins, a new interpretation of the biblical stories of sodom and gomorrah, and enough bork, bennett, buchanan, et al, bashing to more than make up for their incessant carping, and you've got the most provocative book of the fall.","social science , popular culture"
150,life and death of stars,donald a. cooke,"describes the life cycle of stars and discusses supernovas, black holes, variable stars, and pulsars","science , general"
151,"god of the rodeo: the search for hope, faith, and a six-second ride in louisiana's angola prison",daniel bergner,"never before had daniel bergner seen a spectacle as bizarre as the one he had come to watch that sunday in october. murderers, rapists, and armed robbers were competing in the annual rodeo at angola, the grim maximum-security penitentiary in louisiana.the incongruity of seeing hope where one would expect only hopelessness, self-control in men who were there because they'd had none, sparked an urgent quest in him. having gained unlimited and unmonitored access, bergner spent an unflinching year inside the harsh world of angola. he forged relationships with seven prisoners who left an indelible impression on him.looming front and center is warden burl cain, the larger-than-life ruler of angola who quotes both jesus and attila the hun, declares himself a prophet, and declaims that redemption is possible for even the most depraved criminal. cain welcomes bergner in, and so begins a journey that takes the author deep into a forgotten world and forces him to question his most closely held beliefs. the climax of his story is as unexpected as it is wrenching.","social science , penology"
152,motherhood deferred,anne taylor fleming,"here is a passionate, gutsy exploration of the generation of women who came of age during the women's movement, coupled with the author's very personal story of her later-in-life attempts to have a baby.unable to conceive naturally, and heading toward forty, journalist anne taylor fleming availed herself of a veritable alphabet soup of the latest, cutting-edge fertility procedures: gift, zift, ivf... spurred by her present consuming desire to bear a child, fleming's thoughts return to the past - her heady college days, her 1950s youth - in an effort to discover how she has arrived at this juncture in her life.alternating between an insightful probe of those volatile years when the personal became political, and a harrowing account of her often surreal forays into extrasexual procreation, motherhood deferred is an unsparing portrait of a generation of women born to one set of gender-inspired expectations, who were then expected to flourish under an entirely different set. the result is a braid of powerful and telling testimonies - the author's and those of her contemporaries - chronicling the vicissitudes in opportunities, dreams, and realities for women whose lives were movement-forged.with understanding, sensitivity, and self-deprecating humor, anne taylor fleming has written a tour de force: a sometimes irreverent account of what it has meant to be female in the last half of the twentieth century.","social science , women's studies"
153,the closing of the american mind,allan bloom,"the brilliant and controversial critique of american culture with nearly a million copies in print  in 1987, eminent political philosopher allan bloom published the closing of the american mind, an appraisal of contemporary america that “hits with the approximate force and effect of electroshock therapy” (the new york times) and has not only been vindicated, but has also become more urgent today. in clear, spirited prose, bloom argues that the social and political crises of contemporary america are part of a larger intellectual crisis: the result of a dangerous narrowing of curiosity and exploration by the university elites. now, in this twenty-fifth anniversary edition, acclaimed author and journalist andrew ferguson contributes a new essay that describes why bloom’s argument caused such a furor at publication and why our culture so deeply resists its truths today.","social science , general"
154,still life with rice,helie lee,"“a captivating memoir of a courageous survivor” (publishers weekly) and “a window onto the panorama of modern korean history” (st. petersburg times) this is a radiant and engaging story about a young american woman’s discovery about the life of her korean grandmother.helie lee’s grandmother, hongyong baek, came of age in a unified but socially repressive korea, where she was taught the roles that had been prescribed for her: obedient daughter, demure wife, efficient household manager. ripped from her home first during the japanese occupation and again during the bloody civil war that divided her country, hongyong fought to save her family by drawing from her own talents and values. over the years she proved her spirit indomitable, providing for her husband children by running a successful restaurant, building a profitable opium business, and eventually becoming adept at the healing art of ch’iryo. when she was forced to leave her country, she moved her family to california, where she reestablished her ch’iryo practice. writing in her grandmother’s voice, helie lee recreates an individual experience in a unique culture that is both seductively exotic and strangely familiar. with wit and verve, she claims her own korean identity and illuminates the intricate experiences of asian-american women in this century.","social science , women's studies"
155,the coming anarchy: shattering the dreams of the post cold war,robert d. kaplan,"robert kaplan, bestselling author of balkan ghosts, offers up scrupulous, far-ranging insights on the world to come in a spirited, rousing, and provocative book that has earned a place at the top of the reading lists of the world's policy makers. the end of the cold war has not ushered in the  global peace and prosperity that many had anticipated.  volatile new democracies in eastern europe, fierce tribalism in africa, civil war and ethnic violence in the near east, and widespread famine and disease—not to mention the brutal rift developing as wealthy nations reap the benefits of seemingly boundless technology while other parts of the world slide into chaos—are among the issues kaplan identifies as the most important for charting the future of geopolitics. historical antecedents in gibbon's decline and fall and in the legacies of statesmen such as henry kissinger contribute to this bracingly prophetic framework for addressing the new global reality. bold,  erudite, and profoundly important, the coming anarchy is a compelling must-read by  one of today's most penetrating writers and provocative minds.","political science , american government , general"
156,the boomer century 1946-2046: how america's most influential generation changed everything,"richard croker, ken dychtwald","the baby boom generation has always been known asa demographic anomaly and these 77 million americanshave dominated our society for the past 60 years, settingtrends and revolutionizing entire industries. they didn'tjust date, they transformed sex roles and practices. theydidn't just go to the doctor, they reinvented healthcare.and now retirement and aging will never be the sameas the oldest boomers move into their 60s with nothoughts of traditional retirement or old-age homes!featuring insightful interviews and essays from babyboomers like dr. andrew weill, erica jong, eve ensler,rob reiner, oliver stone, lester thurow, and tonysnow, the boomer century is an entertaining,historical and cultural look at a truly amazing generation.","social science , sociology , general"
157,social policies for children,"sara s. mclanahan, irwin , garfinkel, jennifer l. hochschild","successful social policies for children are critical to america's future. yet the status of children in america suggests that the nation's policies may not be serving them well. infant and child mortality rates in the u.s. remain high compared to other western industrialized nations; child poverty rates have worsened in the past decade; poor health care, child abuse, and inadequate schooling and child care persist.this book presents a new set of social policies designed to alleviate these problems and to help satisfy the needs of all children. the policies deal with the seven critical domains affecting children from birth through the passage to adulthood: child care, schooling, transition to work, health care, income security, physical security, and child abuse.while nearly everyone agrees that children are in trouble, there is considerable debate over what kind of trouble they are in, why this is so, and whether government can or should more actively seek to solve these problems. americans are evenly divided on the question of whether children's problems are more economic or moral in origin. the seven proposals in this volume both reflect and cut across ideological disagreements. some call for more government, others call for less, and all call for different government methods for achieving socially agreed upon goals.recommendations include: replacing major welfare programs and tax subsidies with a set of universal policies, including national health insurance, child support assurance, and universal child care; offering publicly funded vouchers to allow poor children in inner-city neighborhoods to choose their own schools; using both private and governmental resources to get tough on crime through more stringent criminal justice policies and dramatic social measures; and expanding apprenticeship programs for non-college bound youths.in addition to the editors, the contributors are barbara r. bergmann and robert i. lerman, american university; douglas j. besharov, american enterprise institute; john j. diiulio, jr., princeton university; julia graham lear, george washington university; and diane ravitch, new york university.","social science , children's studies"
158,"rainbows, snowflakes, and quarks: physics and the world around us",hans christian von baeyer,"discusses the principles of physics at work in a variety of everyday occurrences including whirlpools, lightening, waves, warmth, and motion","science , general"
159,"the unofficial x-files companion: an x-phile's guide to the mysteries, conspiracies, and really strange truths behind the show",ngaire genge,"a comprehensive fan's guide to the provocative television show provides detailed background information on the program's subject matter, scripts, characters, and more. original. 75,000 first printing.","fiction , science fiction , general"
160,lyon's pride,anne mccaffrey,"a destructive speciesthe hive acts as a single entity, relentlessly swarming the galaxy, endlessly propagating on every habitable world they encounter—destroying native populations in the process. they do not recognize any sentience but their own. they do not acknowledge any attempt to communicate with them. they do not understand they leave countless numbers of dead in their wake.a family legacythe prime talents of the raven-lyon clan—telepaths, teleporters, and telekinetics—have protected the alliance from the hive breeding contagion for years. now a fleet orbits the alien homeworld to prevent them from leaving, and a hive queen and her eggs are in captivity and quarantined. and unless the raven-lyons break the language barrier between human and hive, the alliance may have no choice but to eliminate their entire race…","fiction , science fiction , action and adventure"
161,dreamships,melissa scott,"in search of the lost brother of the mysterious mitexi, reverdy jian, freelance space pilot, and her crew discover that the object of their search is the leader of the civil rights movement for artificial intelligence and is insane.","fiction , science fiction , general"
162,"contract with america: the bold plan by rep. newt ginrich, rep. dick armey and the house republicans to change the nation","newt gingrich, bob schellhas, ed , gillespie, richard k. armey","the november 1994 midterm elections were a watershed event, making possible a repbulican majority in congress for the first time in forty years. contract with america, by newt gingrich, the new speaker of the house, dick armey, the new majority leader, and the house republicans, charts a bold new political strategy for the entire country. the ten-point program, which forms the basis of this book, was announced in late september. it received the signed support of more than 300 gop canditates. their pledge: ""if we break this contract, throw us out.""contract with america fleshes out the vision and provides the details of the program that swept the gop to victory. among the pressing issues addressed in this important book are: balancing the budget, stopping crime, reforming welfare, reinforcing families, enhancing fairness for seniors, strengthening national defense, cutting government regulations, promoting legal reform, considering term limits, and reducing taxes.","political science , general"
163,a force more powerful: a century of nonviolent conflict,"peter ackerman, jack duvall","international relations scholar ackerman and television producer du vall collaborated on the documentary series for which this is a companion. they tell how popular movements have used nonviolent weapons to overthrow dictators, obstruct military invaders, and secure human rights in many countries over the past century. annotation c. book news, inc., portland, or (booknews.com)","political science , peace"
164,echoes from the summit: writings and photographs (the wilderness experience),paul schullery,"echoes from the summit is an extraordinary collection of essays that detail our intimate encounters with that most mystical outpost of alpine wilderness, the summit. this is the place where eagles and snows fall in echoing silence; where ripping winds roar and tear and bite the soul; where awe and admiration are regularly inspired. noted naturalists and wilderness seekers recount their tales of stamina, courage, and wonder in a place of brutal and unforgiving beauty, a place of solitude and discovery, a place of secrets.these outstanding essays, selected by editor paul schullery, take the reader into some of america's most breathtaking mountain wilderness areas. richly illustrated with fifty-three spectacular full-color photographs by america's top nature photographers, echoes from the summit is a satisfying trek for every reader eager to see the view from the top.","science , general"
165,grown-up children who won't grow up,"larry v. stockman, cynthia s. graves","describes adults who show an adolescent dependence on their parents, and provides advice on how to help them achieve maturity","social science , general"
166,homegrown democrat: a few plain thoughts from the heart of america,garrison keillor,"the radio storyteller speaks his partisan piece in tender prose that will bring a tear to the eye of those of his fans (and perhaps a larger audience) who feel betrayed by their government. ""something has gone wrong with the republican party,"" keillor writes. ""once, it was the party of pragmatic main street businessmen in steel-rimmed spectacles who decried profligacy and waste, were devoted to their communities, and supported the sort of prosperity that raises all ships."" now, he writes, ""it's the no. 1 reason why the rest of the world thinks we're deaf, dumb, and dangerous."" keillor reclaims and brandishes the banner of liberalism--""the politics of kindness""--for americans wondering what they can do to help make the nation a better, safer place for everyone. the book is not indexed. annotation ©2004 book news, inc., portland, or (booknews.com)","political science , political ideologies , democracy"
167,the greatest story ever sold: the decline and fall of truth in bush's america,frank rich,"demonstrating the candor and conviction that have made him one of our most trusted and incisive public voices, the new york times columnist frank rich brilliantly and meticulously illuminates the bush administration's disturbing love affair with ""truthiness."" rich's step-by-step chronicle shows how, in the wake of 9/11, a propaganda president and his advisors misled a nation into war in iraq and how the bungled aftermath, a washington leak, and a devastating hurricane at long last revealed the lies in a story that had been so effectively sold to the nation as god-given patriotic fact.","political science , public policy , general"
168,"prisoner without a name, cell without a number",jacobo timerman,"the exiled argentine newspaper publisher details his advocacy of human rights, his 1977 arrest, his thirtymonths of imprisonment, interrogation, and torture, the revocation of his citizenship, and his expulsion from argentina","social science , general"
169,the right war?: the conservative debate on iraq,gary rosen,"to declare oneself a conservative in american foreign policy is to enter immediately into a fractious, long-standing debate. should america retreat from the world, deal with the world as it is, or try to transform it in its own image? which school of thought - traditionalist, realist, or neoconservative - is truest to the country's ideals and interests? with the dramatic shift in american foreign policy since 9/11, these differences have been brought into stark relief, especially by the bush administration's decision to go to war in iraq. this book brings together the most articulate and influential voices in the debate among conservatives over the tactics and strategy of america's engagement in iraq. its contribution run the gamut from protests to second thoughts to full-throated endorsements, and represent a vivid sampling of the ideological currents likely to influence the bush administration in its ongoing efforts in iraq and the wider middle east.  gary rosen is managing editor of commentary. he holds a phd in political science from harvard and is the author of ""american compact: james madison and the problem of founding."" his articles and reviews have appeared in commentary, the new york times, the wall street journal, and the washington post.","political science , american government , general"
170,"black lives, white lives: three decades of race relations in america",bob blauner,"one evening in 1955, howard spence, a mississippi field representative for the naacp investigating the emmett till murder, was confronted by klansmen who burned an eight-foot cross on his front lawn. ""i felt my life wasn't worth a penny with a hole in it."" twenty-four years later, spence had become a respected pillar of that same mississippi town, serving as its first black alderman.the story of howard spence is just one of the remarkable personal dramas recounted in black lives, white lives. not all of the tales told by the sixteen blacks and twelve whites interviewed are as encouraging; some are bitter accounts of failed promises, misunderstandings, and lost opportunities. black and white, rich and poor, men and women, collectively they reveal in their own words the paradoxical realities wrought by three decades of tumultuous racial change.beginning in 1968, bob blauner and a team of interviewers began to record the words of those caught up in the crucible of rapid racial, social, and political change. unlike most restrospective oral histories, these interviews capture ""live"" the intense racial tension of 1968 as people talk with unusual candor about their deepest fears and prejudices. the diverse experiences and changing beliefs of these individuals, most of whom were interviewed again in 1979 and 1986, become an extraordinary commentary on the development of race relations since the 1960s.","social science , ethnic studies , african american studies"
171,stars and planets: the sierra club guide to sky watching and direction finding,w. s. kals,"this ingenious handbook, featuring some 80 illustrations, clearly shows how to locate major stars, planets, and constellations anywhere on both sides of the equator with the naked eye and get direction from the sky. it assumes no knowledge of astronomy and requires no astronomical equipment. annotation copyright book news, inc. portland, or.","science , general"
172,summer reading is killing me (time warp trio),"jon scieszka, lane smith","joe, fred, and sam have no idea why they?ve been transported to a playground. all they know is that there?s a 250-pound chicken and it?s headed straight for them. while joe?s racking his brains for the magic words to stop a charging chicken, he suddenly has a flash of what?s going to happen next. it?s exactly like the book he just read. turns out fred put their summer reading list inside the book (the magic one, that is)?and now they?re destined to spend their summer living stories that were only meant to be read. only one thing is clear: writing a back-to-school book report will be no sweat.  jon scieszka and lane smith also collaborated on math curse, the stinky cheese man, and the true story of the 3 little pigs.  jon scieszka lives in brooklyn, new york. lane smith lives in new york city.","juvenile fiction , science fiction , general"
173,ganwold's child,diann thornley,"an exciting multivolume saga of worlds at war in space opens in ganwold's child. the story starts with a child: tristan serege, son of darcie and lujan, the heroic leader of the spherzah, the ""special forces"" of the unified worlds.darcie is taking tristan to rejoin lujan in the enach system when the fierce masuki, nonhuman slavers, attack and capture their transport ship. darcie escapes with tristan in a lifepod and touches down on ganwold, a primitive planet controlled by the dominion, the long-time enemy of the unified worlds. but they have also accidentally jumped more than a year forward in time due to a malfunction in the space drive and cannot expect rescue, so tristan must grow to young manhood in hiding among the alien ganan.tristan is barely eighteen when darcie contracts a lingering, life-threatening illness. to help her, he and his gan ""brother,"" pulou, go on a quest to seek his father, lujan. in one of the dominion colonies, they are captured and turned over to the sector general, mordan renier, who uses tristan as a bargaining chip in an attempt to invade sostis, the homeworld he lost years before in the war. general lujan must combat renier's impending attack, realizing he could lose the family he's just learned is still alive.","fiction , science fiction , general"
174,a child shall lead them: lessons about hope from children with cancer,diane m. komp,"a doctor shares touching moments from her thirty-year career treating young cancer patients, weaving keen observations about medical ethics and faith issues through the story of one child.","political science , general"
175,change for america: a progressive blueprint for the 44th president,"mark green, michele jolin, ed , paisley, lauren strayer","?mark green and michele jolin look to 2009 as the beginning of an era of renewal and progressive governance in america. change for america presciently and insightfully offers specific ideas for what our next president can do to revitalize our nation and restore our standing abroad.""?president bill clintonit was an election about change, but how will that change actually happen?the result of a collaboration between the center for american progress action fund (the advocacy arm of washington’s leading-edge progressive think-tank led) and the new democracy project's mark green,  this comprehensive volume is written by over sixty leading policymakers, scholars and advocates.based on four core values?of democracy, security through diplomacy, opportunity and a greener world?change for america offers scores of solutions how to repair our broken government and create an enduring progressive era.?the center for american progress action fund and mark green have assembled some of our nation's best minds, and their best ideas, into a book is packed with innovative, practical, and progressive solutions that will help take america in a new direction.""?speaker nancy pelosi?these thoughtful essays offer a progressive way forward for the vast majority of americans who hope their government works for the many, not just the few.”?senator ted kennedy?we don't just need a transition -- we need a transformation. mark green and michele jolin's encyclopedia of change offers a brilliant roadmap for the 44th president.”?senator john kerry?this is one of the most important books to be published this year.  it's a handbook for restoring the new deal's social compact with our citizens over the first '100 days' and the next 1360.”?james roosevelt, jr.?change for america is brilliant, timely and practical and teems with hard earned wisdom and common sense.”?michael eric dyson","political science , american government , general"
176,uncovering clinton: a reporter's story,michael isikoff,"michael isikoff, who is credited with breaking the paula jones, kathleen willey, and monica lewinsky stories, is universally acknowledged as the leading reporter who brought to light the incredible revelations about clinton's personal and political misconduct that have shocked the world.as a reporter for the washington post and newsweek, isikoff established himself as an astute observer and chronicler of the clinton presidency. isikoff had no agenda when he started investigating president clinton's conduct other than to get at the truth. but as he battled skeptical editors and a formidable white house spin machine, isikoff unwittingly became a primary character in the unfolding drama.beyond the remarkable case of journalistic detective work, isikoff provides something even more significant: a work that illuminates the psychologically troubling behavior of a president, an administration that has enabled his actions, a motley crew of clinton-haters who would stop at nothing to topple the president, and a rapidly changing media grappling with the ever-shifting boundaries between public and private behaviors. uncovering clinton will surely be the definitive account of our nation's biggest political scandal since watergate.","political science , government , general"
177,"red, white, and oh so blue: a memoir of a political depression",mary kay blakely,"red, white, and oh so blue is a personal essay addressed to compassionate readers who feel traumatized by the news. blakely identifies our national dependency on the ""quick fix"" habit - that of electing politicians who promise pain-free solutions and then wait for miracles - as another symptom of the disorder. genuine relief from the political blues depends on thoughtful citizens reviewing every existing assumption about how we do business, raise children, respond to threats, educate ourselves, and treat our poor.although the silent majority may feel powerless to effect change, blakely points out we are in fact the largest and most influential constituency. instead of separating from each other and establishing more distance from depressing realities, as conventional therapy directs us to do, blakely urges the politically depressed to recognize our connectedness, despite ""national press that routinely frames the news in a 'conflict construct' and divides america into opposing sides of us and them.""while blakely reveals disturbing truths about how our political, military, business, family, and religious practices have compromised national life today, she also draws inspiration from the social justice movements of our past. with her usual candor, humor, and irreverence, she takes us on a thoroughly american journey and applies the talking cure to the silent majority. in the end, she restores readers' faith that ""we americans"" could eventually become ""the country we promised to be, a republic we all could stand.""","political science , general"
178,"charon: a dragon at the gate (the four lords of the diamond, vol. 3)",jack l. chalker,an agent of the confederacy is sent to the jungle planet of charon to assassinate its ruler and finds himself changed into a strange half-animal creature,"fiction , science fiction , general"
179,deer hunting with jesus: dispatches from america's class war,joe bageant,"years before hillbilly elegy and white trash, a raucous, truth-telling look at the white working poor -- and why they have learned to hate liberalism. what it adds up to, he asserts, is an unacknowledged class war. by turns tender, incendiary, and seriously funny, this book is a call to arms for fellow progressives with little real understanding of ""the great beery, nascar-loving, church-going, gun-owning america that has never set foot in a starbucks.""deer hunting with jesus is joe bageant’s report on what he learned when he moved back to his hometown of winchester, virginia. like countless american small towns, it is fast becoming the bedrock of a permanent underclass. two in five of the people in his old neighborhood do not have high school diplomas or health care. alcohol, overeating, and jesus are the preferred avenues of escape.  he writes of: • his childhood friends who work at factory jobs that are constantly on the verge of being outsourced • the mortgage and credit card rackets that saddle the working poor with debt • the ubiquitous gun culture—and why the left doesn’ t get it • scots irish culture and how it played out in the young life of lynddie england","social science , sociology , rural"
180,tip,"paul clancy, shirley elder","an account of the life and career of the irish catholic congressman from massachusetts, one of the few remaining old-time politicians and one of the most influential men in american politics","political science , general"
181,loving someone gay,donald h. clark,"discusses current attitudes toward gay men and women describes what it is like to be a homosexual, and offers advice on how to handle the news that a son, daughter, friend, or relative is gay","social science , lgbt studies , gay studies"
182,rules of engagement,elizabeth moon,"rivals despite the many things they share in common, esmay becomes a suspect in brun's capture by a religious militia movement, while brun, pregnant and imprisoned, struggles to survive despite her captors' dangerous practices.","fiction , science fiction , action and adventure"
183,"balance of power (star trek the next generation, no 33)",dafydd ab hugh,"when a famous federation scientist dies, his son puts his inventions up for sale to the highest bidder, be they federation, klingon, romulan, or cardassian. among the items at auction is a photon pulse canon capable of punching through a starship's shields with a single shot. meanwhile, wesley crusher is kidnapped from the academy by renegade ferengi who have set their sights on the photon canon as well, and captain picard must outmaneuver enemies on every side to save wesley and protect the enterprisetm from the deadly fire of the new canon.","fiction , science fiction , general"
184,friend or foe? (outernet #1),"steve barlow, steve skidmore","a wild ride through strange galaxies and unexpected adventures. but watch your step -- and don't step in anything gross or smelly along the way!the outernet is a web of intergalactic computer networks linked through servers on different planets.as the series opens, we discover that the evil tyrant and his henchmen (the foes) are trying to take over the outernet and use its powers to control the galaxy.our heroes, including several not-so-lucky earth kids, accidentally connect to the outernet via a lost server. they must work with the friends of the outernet to keep freedom and liberty in the galaxy. they are assisted (and often hindered) by a hilarious dog and cat team who are disguised agents of the friends and the foes.","juvenile fiction , science fiction"
185,writing papers in the biological sciences,victoria e. mcmillan,"written by a professional biologist who is also an experienced writing teacher, this comprehensive guide for students writing in biology, zoology, and botany provides detailed instruction on researching, drafting, revising, and documenting papers, reviews, poster presentations, and other forms of writing.","science , essays"
186,modern american women: a documentary history,susan ware,"a collection of primary source documents for the american women's history course, 'modern american women: a documentary history' focuses on events and developments involving women from 1890 to the present. new material includes documents on anti-lynching activism and indian relocation, excerpts from 'the vagina monologues' by eve ensler, expanded chapters on 'sexuality and the body' and 'the state of the movement for women's equality'. new part introductions provide historical context for and identify key themes that emerge from the documents in each of the book's three parts while headnotes, suggestions for further reading and photo essays supplement this already thorough and intimate look at women's history in the 20th century.","social science , women's studies"
187,planet of judgment (star trek),joe haldeman,"on a routine mission, captain kirk and the crew of the enterprise investigate a strange rogue planet that they name ""anomaly"" because of its mysterious ability to inhibit the workings of their weapons, instruments, and systems. reissue.","fiction , science fiction , general"
188,"rethinking social policy: race, poverty, and the underclass",christopher jencks,"one of the foremost sociologists of our time makes a fervent appeal for clearer thinking on race, poverty, crime, and the underclass.","social science , sociology , general"
